"month","payments_count","total_paid","avg_payment","smallest_payment","largest_payment"
"2029-12-01 00:00:00+02","9960","78348240.29","7866.29","800.35","14997.40"
"2029-11-01 00:00:00+02","7403","58463122.02","7897.22","805.96","14993.69"
"2029-10-01 00:00:00+03","6623","52019722.61","7854.40","806.78","14996.54"
"2029-09-01 00:00:00+03","5710","44910407.04","7865.22","800.92","14999.97"
"2029-08-01 00:00:00+03","5717","45179264.55","7902.62","800.50","14999.77"
"2029-07-01 00:00:00+03","5215","41642159.12","7985.07","800.57","14998.61"
"2029-06-01 00:00:00+03","4728","37040872.38","7834.36","800.63","14993.65"
"2029-05-01 00:00:00+03","4642","36007059.41","7756.80","803.26","14998.92"
"2029-04-01 00:00:00+03","4297","34006126.26","7913.92","805.45","14999.70"
"2029-03-01 00:00:00+02","4168","33259716.09","7979.78","800.23","14999.91"
"2029-02-01 00:00:00+02","3630","28518660.02","7856.38","800.63","14999.65"
"2029-01-01 00:00:00+02","3985","31267212.20","7846.23","802.99","14999.98"
"2028-12-01 00:00:00+02","3799","29964027.73","7887.35","802.67","14999.99"
"2028-11-01 00:00:00+02","3663","28732761.64","7844.05","806.57","14996.61"
"2028-10-01 00:00:00+03","3543","28033322.41","7912.31","803.89","14988.08"
"2028-09-01 00:00:00+03","3273","25912857.62","7917.16","800.74","14999.07"
"2028-08-01 00:00:00+03","3382","26806846.01","7926.33","800.88","14997.22"
"2028-07-01 00:00:00+03","3320","26315549.11","7926.37","800.61","14995.73"
"2028-06-01 00:00:00+03","3030","24366777.99","8041.84","803.25","14997.93"
"2028-05-01 00:00:00+03","3123","24614440.60","7881.67","802.36","14992.85"
"2028-04-01 00:00:00+03","2806","22165430.79","7899.30","806.96","14996.30"
"2028-03-01 00:00:00+02","2973","23114789.34","7774.90","801.32","14998.23"
"2028-02-01 00:00:00+02","2714","21458604.19","7906.63","825.45","14997.64"
"2028-01-01 00:00:00+02","2714","21926651.94","8079.09","804.14","14991.21"
"2027-12-01 00:00:00+02","2670","20889630.82","7823.83","802.68","14996.87"
"2027-11-01 00:00:00+02","2495","19659386.97","7879.51","802.97","14986.06"
"2027-10-01 00:00:00+03","2571","20308580.39","7899.10","812.40","14995.70"
"2027-09-01 00:00:00+03","2487","20108453.22","8085.43","803.67","14999.56"
"2027-08-01 00:00:00+03","2452","19414880.98","7917.98","800.75","14995.35"
"2027-07-01 00:00:00+03","2444","19552208.15","8000.09","805.66","14991.64"
