"license_id","employee_id","license_name","expiry_date"
66521,728568227,"Corporate Travel Cert","2021-03-15"
34478,570416885,"Tour Guide Level 2","2021-04-15"
48763,485314675,"AML Awareness","2021-06-01"
61685,222476722,"Tour Guide Level 1","2021-06-02"
69961,623440864,"VAT Handling Cert","2021-07-03"
77864,618525066,"AML Awareness","2021-07-17"
22676,417526769,"Tour Guide Level 1","2021-07-18"
24012,768694249,"AML Awareness","2021-07-21"
48313,600716423,"Tour Guide Level 1","2021-07-30"
90461,518884765,"Senior Agent Accreditation","2021-08-16"
94444,308675916,"Tour Guide Level 2","2021-08-17"
30543,469935619,"Advanced Ticketing Cert","2021-08-31"
25215,121122104,"Tour Guide Level 2","2021-09-08"
27850,488649149,"Corporate Travel Cert","2021-09-10"
14857,625391140,"AML Awareness","2021-09-13"
96355,917108895,"Senior Agent Accreditation","2021-09-15"
78035,678851671,"Tour Guide Level 1","2021-09-16"
944,787827343,"AML Awareness","2021-09-18"
42782,104636695,"AML Awareness","2021-10-13"
49071,676334619,"Advanced Ticketing Cert","2021-10-26"
63290,845623636,"Tour Guide Level 2","2021-10-27"
11504,996199164,"Tour Guide Level 1","2021-11-09"
38581,593380009,"Senior Agent Accreditation","2021-11-14"
71151,682507423,"Corporate Travel Cert","2021-11-21"
31880,647656845,"Corporate Travel Cert","2021-11-26"
84019,422063001,"Fraud Prevention Cert","2021-11-30"
29103,600749063,"Tour Guide Level 1","2021-12-01"
8695,889312641,"Tour Guide Level 2","2021-12-04"
28852,976369187,"API Access Approval","2021-12-05"
24412,268748746,"Corporate Travel Cert","2021-12-06"
11701,511703799,"API Access Approval","2021-12-14"
64193,914457291,"Corporate Travel Cert","2021-12-14"
10738,529599764,"Security Screening Training","2021-12-17"
25742,327429790,"Advanced Ticketing Cert","2021-12-19"
58457,414429167,"Security Screening Training","2021-12-20"
72936,751366275,"Corporate Travel Cert","2021-12-20"
43735,321924323,"Fraud Prevention Cert","2021-12-25"
27806,611557205,"Fraud Prevention Cert","2021-12-27"
71544,910290916,"VAT Handling Cert","2021-12-27"
32287,497751972,"Corporate Travel Cert","2021-12-28"
28548,559133733,"Fraud Prevention Cert","2022-01-10"
41432,786562695,"Fraud Prevention Cert","2022-01-10"
62426,116004985,"API Access Approval","2022-01-12"
83083,129577295,"Corporate Travel Cert","2022-01-12"
85603,796821794,"AML Awareness","2022-01-13"
63199,163001153,"Fraud Prevention Cert","2022-01-20"
58902,909024622,"Tour Guide Level 2","2022-01-22"
60762,859418530,"VAT Handling Cert","2022-01-26"
19815,701579698,"API Access Approval","2022-01-28"
22384,437206524,"API Access Approval","2022-01-29"
29816,420392317,"VAT Handling Cert","2022-01-31"
29554,194732305,"Tour Guide Level 1","2022-02-01"
92838,431081751,"Corporate Travel Cert","2022-02-05"
13452,322467616,"Security Screening Training","2022-02-11"
90268,293410636,"Security Screening Training","2022-02-11"
54941,398716852,"AML Awareness","2022-02-12"
77449,458296150,"Advanced Ticketing Cert","2022-02-15"
55599,980722967,"Customer Privacy Training","2022-02-16"
74109,156117354,"VAT Handling Cert","2022-02-18"
36953,116091941,"Fraud Prevention Cert","2022-02-20"
37151,989387165,"Senior Agent Accreditation","2022-02-26"
25970,989921556,"IATA Agent","2022-02-28"
38832,170463583,"VAT Handling Cert","2022-03-03"
51293,139056077,"AML Awareness","2022-03-12"
27841,533209149,"Senior Agent Accreditation","2022-03-13"
70344,974095949,"Tour Guide Level 2","2022-03-19"
74716,980744921,"AML Awareness","2022-03-19"
55919,610539891,"Fraud Prevention Cert","2022-03-21"
90346,238389099,"Security Screening Training","2022-03-23"
89447,334032145,"Advanced Ticketing Cert","2022-03-25"
8913,819130489,"Fraud Prevention Cert","2022-03-28"
55965,124239398,"Fraud Prevention Cert","2022-03-28"
16747,783045899,"Advanced Ticketing Cert","2022-03-30"
44513,682164096,"Fraud Prevention Cert","2022-03-30"
55036,937719971,"Fraud Prevention Cert","2022-03-30"
72720,189478833,"Corporate Travel Cert","2022-03-30"
33085,934833262,"Fraud Prevention Cert","2022-03-31"
96488,788257730,"Advanced Ticketing Cert","2022-04-03"
53076,185116206,"VAT Handling Cert","2022-04-04"
16690,218131071,"AML Awareness","2022-04-05"
14361,391952040,"Customer Privacy Training","2022-04-06"
55350,191793259,"Customer Privacy Training","2022-04-07"
16655,457810099,"Tour Guide Level 2","2022-04-09"
57458,758107946,"Senior Agent Accreditation","2022-04-09"
10009,453982684,"Tour Guide Level 1","2022-04-12"
95485,961794519,"AML Awareness","2022-04-12"
95617,561135249,"VAT Handling Cert","2022-04-12"
23329,374893637,"Corporate Travel Cert","2022-04-14"
16793,118179624,"Fraud Prevention Cert","2022-04-15"
85805,874399744,"Advanced Ticketing Cert","2022-04-17"
33467,198354396,"Tour Guide Level 2","2022-04-23"
52772,567287225,"Fraud Prevention Cert","2022-04-25"
91439,473344191,"Fraud Prevention Cert","2022-04-30"
99469,225648653,"API Access Approval","2022-04-30"
28559,745822178,"Fraud Prevention Cert","2022-05-04"
17848,871625287,"Tour Guide Level 1","2022-05-05"
22577,788254462,"Security Screening Training","2022-05-07"
84287,422778178,"Tour Guide Level 2","2022-05-09"
69307,892567282,"Security Screening Training","2022-05-16"
59564,862426287,"Fraud Prevention Cert","2022-05-18"
42996,487217418,"Senior Agent Accreditation","2022-05-19"
7410,842915979,"Tour Guide Level 1","2022-05-20"
90435,264889690,"Senior Agent Accreditation","2022-05-21"
69275,688621064,"VAT Handling Cert","2022-05-23"
69481,113957077,"Corporate Travel Cert","2022-05-23"
72402,354690803,"Customer Privacy Training","2022-05-25"
92165,139698002,"VAT Handling Cert","2022-05-25"
9034,102475849,"IATA Agent","2022-05-27"
41842,770346946,"VAT Handling Cert","2022-05-30"
73785,263078584,"Corporate Travel Cert","2022-06-03"
6683,459714872,"Fraud Prevention Cert","2022-06-05"
7837,316872770,"IATA Agent","2022-06-06"
33709,513865837,"Advanced Ticketing Cert","2022-06-06"
99787,692550228,"Senior Agent Accreditation","2022-06-07"
33418,353842563,"IATA Agent","2022-06-09"
60077,348641412,"Corporate Travel Cert","2022-06-09"
14827,485558223,"Corporate Travel Cert","2022-06-10"
40784,634815793,"Fraud Prevention Cert","2022-06-11"
51913,939570733,"Corporate Travel Cert","2022-06-11"
87676,803571735,"Customer Privacy Training","2022-06-11"
41024,174948086,"IATA Agent","2022-06-12"
3993,971435454,"IATA Agent","2022-06-15"
86028,475321308,"Tour Guide Level 1","2022-06-15"
29645,850087048,"Corporate Travel Cert","2022-06-16"
79563,572826495,"Tour Guide Level 2","2022-06-16"
73082,531625734,"IATA Agent","2022-06-17"
14434,392575603,"AML Awareness","2022-06-20"
46131,180895185,"AML Awareness","2022-06-20"
31603,281979761,"IATA Agent","2022-06-21"
26094,349203006,"VAT Handling Cert","2022-06-22"
93586,771085349,"Advanced Ticketing Cert","2022-06-22"
54856,510199654,"Advanced Ticketing Cert","2022-06-27"
96164,580395786,"Senior Agent Accreditation","2022-06-30"
59964,337821565,"API Access Approval","2022-07-01"
78994,123766817,"Security Screening Training","2022-07-01"
13208,993518752,"IATA Agent","2022-07-02"
70727,733977681,"API Access Approval","2022-07-05"
78605,851738831,"API Access Approval","2022-07-06"
39369,459611245,"Advanced Ticketing Cert","2022-07-07"
82081,350641263,"Advanced Ticketing Cert","2022-07-07"
33554,714474172,"Fraud Prevention Cert","2022-07-08"
44837,823760521,"Tour Guide Level 2","2022-07-09"
76812,246886044,"Security Screening Training","2022-07-09"
85233,808279352,"Security Screening Training","2022-07-09"
33142,674102800,"AML Awareness","2022-07-10"
42890,450818330,"Corporate Travel Cert","2022-07-10"
24667,579165358,"VAT Handling Cert","2022-07-11"
31323,207425675,"Tour Guide Level 2","2022-07-12"
1700,104100176,"API Access Approval","2022-07-13"
38696,298768888,"Fraud Prevention Cert","2022-07-13"
90254,663384346,"IATA Agent","2022-07-13"
15722,855926067,"Customer Privacy Training","2022-07-15"
